anchors,positives
What are the criteria for evaluating the physical and mechanical characteristics of materials in design and testing applications?,"5) 40 S50, 113 v | SUBJECT STATE OF THE ART DESIGN CRITERIA Elbows 2.15.6 40 BLS 114 Handling-Protection Devices 2AES 7. 40 AEG) 114 Materials 21.6 41 3.1.6 115 Chemical Compatibility 2.1.6.1 42 3.1.6.1 115 Physical and Mechanical Properties PADIS 43 SiO: 118 Formability 2.1.6.3 46 3.1.6;3 118 Weldability 2.1.6.4 47 3.1.6.4 118 | Lubricants 2G, 5. 47 B65: 119 Testing 217, 47 3.1.7 119 | Test Requirements Delasel 47 eit 119 | Test Instrumentation 2157.2 51 Sel. "
What is the significance of bellows joint pressure capability in relation to mechanical systems?,"72, 124 | BELLOWS JOINT 22 52 aa 125 Bellows PPA 54 3.21 125 Pressure Capability 2.211 55 F2F 125 Fatigue Life aiadia 56 9.4,h.2 126 Buckling Stability Zaid 61 S213 127 Corrosion Resistance 2214 61 3.2.1.4 128 Manufacturing ZA, 62 3.2.1.5 128 | Bellows Restraint 222 65 are, 130 | Mechanical Linkages PROPOR 65 BAe | 130 | Thrust-Compensating Linkages 222, 72 S222 133 | Compression System 22203 76 32.23 133 | Bellows-to-Duct Attachment 2253 78 5.2.3. "
What are the parameters for evaluating drainage efficiency in a liner system?,134 Joint Quality ee os B23 134 Flow Liners 2.2.4 81 3.2.4 135 Liner Binding wee a 3.2.4.1 135 | Liner Drainage ——— _ 3.2.4.2 135 | Liner Collapse Strength we - 3214.3 185 | FLEXIBLE HOSE a3 82 33 136 | | Routing 2:31 83 Phe 136 Bend Configuration wee —— Spepel| 136 Sizing 232 85 B32 187 Flow Area ee — SEStoMl 137 | Innercore/Hardline Relation ee _ De 137 ' } | vi | | | | | | | SUBJECT STATE OF THE ART DESIGN CRITERIA Innercore a3. 
What is the significance of filter rating in relation to system contamination in technical applications?,"85 33.3 137 Operational Capability ZaS 85 BSL 137 Bending Moment 2.3.3.2 87 3.3.3.2 138 Buckling Stability 23.33! 87 323.3 138 Braid 2.3.4 88 3.3.4 138 | Freedom of Movement _— — 3.3.4.1 138 | Length Stability — _— 3.3.4.2 139 Pressure Capability — ~ 3.3.4.3 139 End Construction 23.5 92 HS 139 | Bending Moment 2.3556 94 3.3.6 140 | | FILTERS 24 94 3.4 140 Filter Element 2.4.1 95 3.4.1 140 i Filter Rating 2.4.1.1 96 3.4.1.1 140 System Contamination/Filter Area PACHIPA 98 3.4.1.2 141 { Residual Filter Contamination 241.5 99 3.4.1.3 141 Filter Material as Contaminant 2.4.1.4 99 3.4.1.4 142 Pressure Drop 2.41.5 100 3.4.1.5 143 Testing 2.4.1.6 101 3.4.1.6 143 Filter Case 2.4.2 101 3.4.2 144 | | ( | | Page intentionally left blank | LIST OF FIGURES Figure Title Page 1 Typical line, bellows, and hose assemblies on a large pump-fed rocket engine CPs si 9 2 Tension-type flexibleline configurations ©. "
What is the purpose of flexible-line configurations in technical systems?,2... ee ee ett es 14 3 Compression-type flexible-line configurations . 2... . ee ee et ee 14 | 4 Common configurations used to provide flexibility inhardlines . ..-.. ++. 16 | 5 Propellant feedline arrangement on the LEM descentengine . . . - +--+ +--+: 18 6 Plan view of articulating duct arrangement in gimbal plane of Spaccsnutie mall engine <= ..s tar wee 6 See et ke Pre Mclean alle 19 7 Arrangement of hard lines on pump discharge of F-lengine . 
What component is utilized to mitigate torsional deflection in the inlet line of a J-2 engine pump?,. .-.- +--+ 21 8 Tightly formed bellows subassembly used to absorb torsional deflection of primary | bellows in inlet line of pump on J-2engine . . 2.) ee ee es 22 . 9 Typical vaned elbow configuration... --- +--+ eee ert 25 10 Flow guide vanes in sharp elbows of pumpinletlines . . - . - +--+ ++ ss 25 11 Flow-distribution device incorporating an “egg-crate” type of flow straightener . . . . 27: | 12 Flow splitter in propellant feed system of LEM descentengine . 
What component uses a bubble for suppression in a standpipe linked to an oxidizer pumping system?,"..--.- +++: 27 13) Standpipe with bubble for Pogo suppression, Titan II oxidizer pump Hflet line |)"". shy. 30 14 Spring-loaded accumulator for Pogo suppression, Titan I fuel pump inletline .... 30 15 Schematic of Pogo suppression system in LOX feed system on BOMBS SOR Rr eda 31 | 16 Rotation of flanged joint as a result of internal pressureload . . - . - s+ 2 es 32, 17. Three examples of rocket engine manifolds... "
What are the primary modes of vibration associated with bellows in mechanical systems?,"- +--+ + eet ttre 83 18 Turbine exhaust manifold designed for equal distribution of flow .....--+-:- 35 | 19 Handling-protection devices for bellows .. -- +--+ ++ se rr rte 41 ix | Figure Title Page 2OE -ehoubexamplesjotbeulowsioits << 27: a. 4 ee. Se GT Ne, 53 Zi) Three: primaryzmodes:of bellows vibrationia “9%... - 0.1. me dd 58 22 Example of double-bellows-spoolpiece configuration susceptible to vibration . "
What are two issues encountered during the production of bellows?,. . . . 61 | 23 Two examples of problems in bellows fabrication . .............. 63 24 Internal and external mounting of gimbal rings with double-shear clevis pins... . . 67 25 ~ Chaindink restraint joint with internal tie. <9)... ... 56 ew 68 | 26 _Ball-bearing ball-joint restraint used on F-1 engine Oxidizonpiemptonegeine test mmmmee cis eam rc Se! Rite fea eas dy dee ons 69 27 Internally tied tripod flex joint used on discharge duct Pe Ee a ee oan 70 28 Externally tied gimbal ring flex joint used on SSME high-pressure lines... 
What is the function of a thrust-compensating linkage in relation to internal and external pressure?,".... . 70 29 Typical “Gimbar” restraint assembly used on fill and drain We ee... ie ee ss ee sss teem A 30. Thrust-compensating linkage employing a thrust-compensating bellows (PVC joint) . . 72 31 Thrust-compensating linkage, internal pressure (F-1 pumpinletline) . . ... 2... 74 32 Thrust-compensating linkage, external pressure . . .... 1... 00a. 74 33 Finger-compensator joint with thrust-compensating chamber... "
What is the purpose of incorporating compression bellows in a support structure?,".....2.2.~. 75 34 Thrust-compensating linkage with external tie bar O ORtdize ren -pressuLedUCH) wii cane. Sanh eE RG se. okie Res 75 35 Installation of compression bellows to minimize loading on support structure . . . . . 76 | BG srypicalibellows-to-duct attachmentsy oo epi... i when's ee) toahie oe a7 37 Detail design of bellows-to-duct attachmentsonSSME ............. 78 38 Design change to preclude fatigue failure of bellows-to-duct attecainents One liturome exhausts, 6.9) 5. "
What are common configurations for flow-liner applications in engineering systems?,"2 Ue ean Saget es 79 | 39  Fitup problem with resistance seam welding of thin-wallducts ........2.. 80 | * cae ee oe ee re ae So pe kT eae See, NO ee eS ee | | Figure Title Page 40 Typical flow-liner configurations. © ©. 6 ee et tt 81 | 41 Gimbal-plane wraparound hose CONfiguraHON melee minh Be Peni tyes avarat yetedy «| Tele 83 42  Off-center hose configuration crossing gimbal plane used in engine-to-vehicle lines of J-2engines . "
What are the common end constructions utilized in braided hoses for various applications?,". - - +--+ +++ ss ts tert 84 43 Typical weaves used in construction of tubular wire braid . . se ee 7 ee ts 89 { 44 Braided-hose end construction for specific applications =... + +--+ + tt 93 | | | | 45 General-purpose end constructions for braided Ose a ate a oe ees! ee el 92 | 46 Typical bending moments for various configurations of braided metalhose . . . ~~: - 94 47 Graph for determining pressure loss finaciretilar Oc clbGwans, Cie wht eat 1. "
What factors contribute to pressure loss in a branch configuration when considering tap-off design?,"acne TelOe: j 48 Pressure loss in a tapoff branch related to configuration oftie branch ra. tant.» 107 49 Recommended flow-straightener design for relieving thermal-expansion sect oT eu bec same a IRN rig ee Ore ey a ci ice eat 50 Recommended design fora flangedjoint .. -- +--+ esse tr rt 110 wil Recommended and unacceptable designs for bracket, boss, andemounting-lugattackipients|a0.¢+ — - -Origeu es fut) Oe tege karen? 112 52 Recommended construction of vacuum-jacketed Glosolt port a ik RL 113 | | 5) Recommended design for hot-to-cold intersection ofamanifoldandduct .... "
What is the suggested method for positioning vibration-measurement tools on flexible conduits?,".. . 114 } 54 Recommended technique for mounting vibration-measurement instrumentation on Dimidatlexiblehose: sr 2 a%. bt + ine seals a, TT Ee 125 35 Recommended vibration damper and antibuckling device for double-bellows spoolpiece arrangement . . .- +--+ ser tr ttt ttt 128 | 56 Recommended configurations for bellows weld-neck doubler 224 te tee Gr 130 | Si! Recommended design for centering bellows live length in chain-link restraint . "
What should be considered in the design of a bellows-attachment for high-heat conditions?,. .- - 132 58 Recommended ball-bearing installation to offset effect of change j | | MMaMINOMPOINLIOCATON). “ev iateres? Sh fle ee oy (eh ae Re es Tee: 132 xi | Figure Title Page 59 Recommended bellows-attachment design for high-heat-flux TepiON =. ee ss | 184 60 Undesirable and preferred configurations for a flexibleelbow ........... 136 LIST OF TABLES Table Title Page I Chief Design Features of Line Assemblies in Typical Uses on Operational and | | Advanced-Development Enginesand Vehicles ...........2.2.4. 
What are the key design attributes of wire-mesh filtration systems utilized in standard and advanced propulsion systems?,"+04 4 Il Chief Design Features of Wire-Mesh Filters in Typical Uses on Operational and Advanced-Development Enginesand Vehicles ..............e.. 12) Il Typical Properties, Forming Limits, and Relative Cost of Representative Alloys Usedunelune Assembliess ) tien Ahan 7 Pe BT) yalnei ets Oey tude 45 IV Typical Test Requirements for Line Assemblies .............~. 2 SAS Vv Limiting Bulging Stresses and Allowable Motion Stresses of Frequently Used Bellows Materials 2 2... "
"What are the recommended materials for flexible hoses, bellows, and lines in liquid propulsion systems?",".... Lee ee 55 | VI Recommended Alloys for Line, Bellows, and Braided Flexible Hose for Use\With Typical Service Pluids 5 =. |. | ee gt, he en ws ee AIT | Vil Recommended Practices forComponent Tests . ..............2..2. «120 Vill Recommended Allowable Contaminant Particle Count for a GriticaleMistallatigamiler, sets setts oem. (er Se eer eee Ee He  tag9 | | xii LIQUID ROCKET LINES, BELLOWS, FLEXIBLE HOSES, AND FILTERS | 1. INTRODUCTION | A liquid-propellant rocket engine and the vehicle for which it provides a propulsive force. "
What is the role of interconnections in facilitating the functions of fluid-flow components in propulsion systems?,"represent an assemblage of fluid-flow components that must be interconnected if thecomponents are to perform their respective functions. These interconnections are provided | by the lines, bellows, and flexible hoses used on a typical rocket propulsion system. Thefluids in a given system are maintained at a required level of cleanliness by filters that"
What is the function of a cylindrical component with corrugated walls used in fluid passageways to allow for movement?,A line (or duct) is an enclosed leak-tight passageway that conveys fluid from one | fluid-system component to another. (The terms “line” and “duct” are used interchangeably | in the aerospace industry and will be so used in this monograph.) A bellows is a thin-wall i circumferentially corrugated cylinder that when integrated into a line can accommodate line movement through deflection of the corrugations (convolutions). A bellows joint normally. 
What device is designed to eliminate impurities from a fluid system by capturing particles within or on a porous surface?,"consists of a bellows and a restraint linkage, but it may be only a free bellows. Flexible hoseconsists of a corrugated (convoluted) innercore restrained by an outer sheath or wire braid. |A filter is a device that removes contaminants from a fluid system by trapping particulatematter within or on the surface of porous material; criticality of most rocket engine"
What process is commonly used to remove impurities from control fluids before they reach fluid-system elements like valves and actuators?,"components requires filtration to some degree for almost all control fluids prior to their entry into valves, actuators, and other fluid-system components."
What are the primary types of considerations that influence the design of line or duct assemblies and their components?,"The successful design of line or duct assemblies and their components is based on manyconsiderations and factors. Some considerations are quite basic and are well grounded intheory, while others are more subtle and have been learned through many failure analyses and experiments."
What are the two primary methods used to achieve flexibility in a line assembly to accommodate deflections?,"| Flexibility is designed into a line assembly so that it can accommodate deflections imposed by various conditions such as thermal expansions and contractions, installation misalignments, operational structural deflections, and thrust-vector gimballing. The most common method for providing flexibility is to incorporate in the line a bellows ora section | of flexible hose or combinations thereof. A second method is to provide a hard line (no hose or bellows) with sufficient flexibility to absorb the imposed deflections, flexibility being achieved by special attention to line configuration, location of elbows, length-to-diameter. "
What are common issues encountered in flexible joint assemblies that can affect overall performance?,"i} ratio, and line material properties. In some instances (e.g., the Titan I engines), rotating ) joints with dynamic seals have been used, but to a much lesser extent than bellows joints or | “flexible” hard lines. The major problems in line assemblies have involved the details of the flexible-joint elements utilized. Less frequent problems have involved the entire assembly and include mechanical | vibration, corrosion, contamination, thermal-cycling fatigue, static-seal leakage, handling damage, and mismade parts. "
"What are the common issues encountered in the design of flexible components, particularly regarding fatigue failures and attachment joint stability?","The major problems with the flexible elements, in addition to | those just listed, have been fatigue failures (from flexure and mechanical or flow-induced vibration), buckling-instability failure, and failure of the duct-to-bellows attachment joint. | The major problems in filter design have been determining the amount of built-in, system-generated, and environmental contaminants to be filtered; contaminant capacity; flow versus pressure drop for filter elements; and the physical size of filter required to satisfy the system requirements. "
What are the key design components addressed in relation to line assembly in the order a designer would logically follow?,"This monograph begins with a discussion of the line assembly that treats the key design elements in the assembly in the logical, chronological order in which a designer would | proceed. Bellows (including linkages, liners, and associated components), flexible hoses, and | filters then are treated in order. Some of the design considerations in these areas overlap. | For example, similar considerations apply to the design of line assemblies with flexible | joints and to the design of a flexible-hose assembly; also, considerations for design of a ! bellows in a flexible joint are similar to those for a bellows in a flexible-hose innercore. "
What are the main components discussed in relation to a rocket engine fluid system?,"| Because the materials-selection factors, handling-protection devices, test requirements, and ; test instrumentation are very similar for lines, bellows, and flexible hoses, this information is | presented only once in the section “LINE ASSEMBLY.” Filters, while not intimately related to ducting, are a critical part of a rocket engine fluid system; they are discussed separately and last in the monograph. "
What are the primary design characteristics of flexible hoses used in operational and advanced-development propulsion systems?,"| | | | | | 2. STATE OF THE ART Lines, bellows, and flexible hoses. — Table I* presents the chief design features of lines bellows, and hoses in typical uses on representative operational and advanced-development engines and vehicles. In the design and application of these components, many problems were solved; some problems still exist and have at best only partial solutions. | Flexible lines are more prevalent on large liquid rocket engines (booster or upper-stage main | propulsion) than on small engines (attitude control or reaction control). "
What type of propellants are primarily used in small engines according to the information provided?,"Small engines seldom have exterior lines except for propellant feedlines. Little flexibility is required in these lines because the engines usually are not gimballed and utilize storable** | (noncryogenic) propellants. The state of the art of rocket engine flexible lines thus is based primarily on experience with large engines. Figure 1 shows the line, bellows, and hose | assemblies on a typical large pump-fed engine (J-2). "
What type of stainless steel family was utilized in the construction of the bellows and feedlines for early launch vehicles?,"| Early launch vehicles, as characterized by the Vanguard and Redstone, had relatively low engine thrust and operating pressures. The flexible-line design problems were solvable within | the state of the art. Free bellows, restrained only by their installation attachment points, | | were used for achieving flexibility in the propellant feed systems. The materials used for | both bellows and feedlines were stainless steels of the 18-percent-chromium, 8-percent-nickel family (18-8 CRES). "
What were the significant materials and design considerations for flexible ducting in propulsion systems for Saturn vehicles?,"Propulsion systems for later launch vehicles (e.g., Jupiter, Thor, Atlas, and Titan) included gimballed engines with greater operating pressures and larger line sizes than those on the Redstone or Vanguard. Flexible lines were more sophisticated and required considerably | more development; 18-8 CRES remained as the predominant type of material, however. The engines of the Saturn vehicles and the associated propellant feed systems presented severe design requirements in flexible ducting. "
What characteristics were crucial for hardware designed for human use to ensure high reliability according to the necessary advancements?,"Advances in the state of the art were necessary to meet those requirements. Line sizes, operating pressures, flow velocities, and gimballing life — all far exceeded anything previously done. Higher strength materials were necessary to minimize structural weights and to provide adequate fatigue life. The hardware, | being man-rated, had to be extremely high in reliability; reliability was proved through | many component, engine, and unmanned-flight tests. "
"What duct assembly type was primarily used in the Saturn vehicle systems, differing from previous designs?","| The Saturn vehicle systems made extensive use of the pressure-volume-compensator (PVC) type of duct assembly. This design concept was not used on any engines or vehicles prior to | the Saturn. Tension-type systems, which include PVC ducts, are the predominant systems | on the Saturn. The free-bellows compression system also was frequently used; examples are “Factors for converting U.S. customary units in the table to the International System of Units (SI units) are given in Appendix A. "
What are the primary characteristics of line assemblies used in operational and advanced-development engines and vehicles?,"**Terms and symbols, materials, and abbreviations are defined or identified in Appendix B. | 3 | ' ¥ ac - lee Fhe ee | Table 1. — Chief Design Features of Line Assemblies in Typical Uses on Operational and Advanced-Development Engines and Vehicles Engine or Part description or Temperature} pressure Line ID, Type of bellows Airframe Model, function range, °F range, in. Line Bellows Restraint Testraint Date psig Misc. "
What are the temperature ranges for the LOX propellant and hydraulic systems in relation to the materials used in their construction?,"small diam. 0.75 to 321 CRES {321 CRES 321 CRES | Braid flex hoses: Tank 1.00 Inconel 718 pressurization, hydraulic eae Ce 321 CRES [321 CRES 321 CRES | Braid purge, bypass and ae Se he ae 321 CRES |321 CRES 321 CRES | Braid 321 CRES [321 CRES 321 CRES | Braid 1000 to 0 to 3125 321 CRES |321 CRES 321 CRES | Braid # Bellows: Propellant LOX -297 0 to 2360 1.25 to 17]321 CRES [321 CRE: 321 CR xternal gimbal feed, hydraulic Inconel 718 | Inconel 718] (liner) | Saturn V system (RP-1), and Inconel X-750 Fe drain lines 0 to 3000 1.37 to 12 R 321 CR R xternal gimbal Bellows: Tank [cox | 400 %6 500 foro 1850125 [321 CRES [Inconel 718 | Inconel 718] External gimbal] pressurization p—_fowemom [ge roe pe [oar Bejlows: Turbine Exhaust 1000 to 27 Hastelloy C | Hastelloy C Compression Bellows: Pump LOX -297 inconel 718] Inconel 718 R Pressure-volume inlets 321 CRES |Hastelloy C Inconel 718] compensating A286 external gimbal (liner) Bellows: Pump 12 to 17.4] Inconel 718} Inconel 718 321 Pressure-volume inlets Inconel 718] compensating external gimbal (liner) - a ~ — = Se === owe es ie neo a FS alae th ire ae | Misc. "
What materials are specified for the braid flex lines in the propellant feed start system?,"small diam. LOX 297 0to1400 | 0.375to |321CRES |321CRES 4321CRES J]Braid flex lines: Tank | purge, propellant feed start system 200 0.75. "
What materials are utilized for constructing discharge ducts in the mentioned system?,Gee GE eS aloe SS Saturn V Hastelloy C |Hastelloy C__| Hastelloy C |J-2 [Nz | -290_—~ifoto225 [0.375 [321 CRES [321 CRES [321 CRES [Braid1000 Bellows: Pump LOX 297 0 to 1390 310 CRES discharge ducts Inconel 718 linkage
What material is utilized for bellows in the turbine application with a pressure range of 0 to 1034?,"inlet ducts Inconel 718]321 CRES | rece alll ""a a ae Bellows: Turbine LOz/LH | 0 to 1034 321 CRES |321CRES [321 CRES | Internal linkage u es oe a a ieercinuake Se.” kee products pressurization, fill and +180 1.00 . +180 1.00 feed H3 -423 88 8.00 321 CRES_|Inconel 718 [Inconel 718 [External gimbal tank pressurization +440 S-II stage +440 for J-2 engine) ra tank pressurization +70 SS a a cl +70 ie = ee | +70 free lined bellow Bellows: LOX Ox 297 4 1.50to [321CRES |321CRES [321 CRES (continued) Table I. "
What materials are specified for the internal tripod discharge lines in operational and advanced-development engines?,"— Chief Design Features of Line Assemblies in Typical Uses on Operational and Advanced-Development Engines and Vehicles (contd.) Engine or Part description or Temperature | pressure Line ID, Type of bellows Airframe Model, function Fluid range, °F range, in. Line Bellows Restraint restraint Date psig S-II stage recirculation 3.00 J-2 engine) 1962 | tank vent GH eer 7.00 Inconel 718 |321 CRES | External gimbal line +65 Pump LH -420 to 0 9.62 Inconel 718 18% nickel | Internal tripod discharge +65 to 2000 maraging | with ball and line steel, gold | socket bearing plate, ball and socket; Inconel 718) tripod a Bellows” GH2 65 [) Inconel 718 | Haynes Star] Internal tripod with to 1000 to 1000 J, ball; ball and socket Haynes 6B, | bearing | socket; Inconel 718 tripod Bellows” LH -420 to 0 347 CRES } 321 CRES 18% nickel,} Internal tripod with +65 to 2000 maraging | ball and socket | steel, nickel] bearing plate, ball & socket; Inconel 718} tripod Fuel feedline A-50 -20 to 0 321 CRES | 321 CRES 321 CRES | Internal strut and +140 to 240 struts; “U” tie rods | 17-4 PH tie rods | Apollo Module system +140 to 240 | — +140 to 240 Oxidizer feedline -20to 0 321 CRES | 321 CRES 321 CRES | Internal strut and +140 to 240 struts; 17-4] “U” tie rods PH tie rods ( L | | : | | | Pump discharge LH -420 to t) 4.62 347 CRES] Inconel 718 | Inconel 718J Internal ring | line” +65 to 1500 Electroless | gimbal nickel coat | on pin; | Electrofilm 77S coat.on bore Nerva XE"" Turbine inlet GH 65 °  Hastelloy C | Hastelloy C,| Internal ring | 1966 line? to +800 to 600 electroless | gimbal nickel plate on pin; Electrofilm | 77S coat on bore RRR Ml ik bey: MD ce ig oe live Std | exha ine 9 +440 2 100 Sees Mn SUE Sele ig. "
"What materials are indicated for use at temperatures up to 800 degrees and in various configurations, including tripods and pumps?",Be +65 GH 65 0 Inconel 718 | 321 CRES | Wire braid Nerva XE hotee® 1288 GH 65 321 CRES | Wire braid = sj to+800 _| to 600 an rad pe | eees | crus ee | Fecal Be Se ae ee to 200 CRES CRES Pump ASO 65 0 3.70 321/347 | 321/347 350 CRES | Internal tripod with discharge to 200 to 1575 nd CRES CRES ball and socket line | N204 65 C) 4.75 321/347 | 321/347 350 CRES | Internal tripod with to 200 to 1465 CRES CRES ball and socket Titan UL Pump inlet A-50 63 0) 3.75 321/347 | 321/347 a: Gea ora ieee oe la eee Pump A-50 65 0 2.70 321/347 | 321/347 350 CRES | Internal tripod with line line to 1750 CRES CRES CRES Eka PCA aR A alicia ° 1750 26 CRES CRES CRES Roll control Hot gas° 65 7.00 321/347 | 321/347 line to 1200 CRES CRES (continued) | Table I. 
"What factors are considered in the design of line assemblies for operational engines and vehicles, particularly regarding temperature and pressure specifications?","— Chief Design Features of Line Assemblies in Typical Uses on Operational and Advanced-Development Engines and Vehicles (concluded) , Program, Operating Materials | Engine or Part description or Temperature | pressure, Line ID, Type of bellows | Airframe Model, function Fluid range, °F psig in. Line Bellows restraint Date |. "
What materials are utilized for the construction of the discharge duct and internal components in the pressure fuel pump?,"Discharge duct, iow- LH2 Armco Inconel 718 Inconel Internal tripod pressure fuel pump 21-6-9 718 with ball-and-| Supply duct to turbine al 85to Hastelloy | Inconel 718 | Titanium | External gimbal for low-pressure fuel Hot gas 273 C and Inco- | with 316L and Inconel | ring pump ne) 8 inner p §"
What is the material used for the high-pressure oxidizer pump discharge hard line?,Space Shuttle Supply duct to turbine d -279 to 5308 2.30 Inconel Inconel 718 Titanium External gimbal | Main Engine for low-pressure Hot gas' 65 718 and Inconel } ring (SSME) oxidizer pump 8 1972 Oxidizer tank 65 to 0.75 Inconel 718 | Inconel 718 Inconel 718] External gimbal pressurization GOx 940 ring duct High-pressure oxidizer -272 Inconel 718] None NA NA pump discharge hard line High-pressure fuel- LH -367 6174 Ti-sAl- None NA NA Be pump discharge 2.8Sn ELI | (hard line). 
