anchors,positives
What type of mathematical equation is used to express the contour of a bell nozzle under specified design requirements?,"When the requirements posed to the designer of a bell nozzle are: (a) the continuity of its contour; (b) the continuity of its slope; and (c) the respect of the four boundary conditions specified above, independently of whether a parabola or any other smooth curve may be chosen, then the contour can be expressed by a cubic equation, as follows"
"What is the significance of finding the coefficients a, b, c, and d in the equation representing a polynomial function?","y(x) = ax? + bx? +ex+d where the unknown values of the coefficients a, b, c, and d result from solving the following system of four linear equations"
"What are the calculated values of a, b, c, and d after substituting the known variables in the equations?","In the numerical example given above, after substituting the known values of xy, yn, XE, Ye, 9, and 6, in the four preceding equations, we find the following values: a= 1.1602 x 10~, b= —0.0014065, c = 0.65746, and d = 12.774."
What is the impact of non-axial exhaust gas flow on the performance of annular nozzles in a thrust chamber assembly?,"The exhaust gas generated within the combustion chamber need not flow along the axis of symmetry of the nozzle. Such is the case with the two annular nozzles illustrated in the following figure, due to the courtesy of NASA [28]. 96 2 The Thrust Chamber Assembly t Annular bell Expanslon-deflection (E-D)"
What type of nozzle features a combustion chamber that forms a ring around its base?,"Annular (or plug or altitude-compensating) nozzles are so called because the propellant is combusted into a ring, also called an annulus, which is located around the base of the nozzle. They are shown in the following figure, due to the courtesy of NASA [5], which also illustrates a conical nozzle and a bell-shaped nozzle."
What is the efficiency percentage of the injector specified in the context?,"AREA RATIO= 36:1 INJECTOR Cpe EFFICIENCY = 98.3% (ALT) SOMBUSTION CHAMBER THROAT INJECTOR COMBUSTION INJECTOR INJECTOR e THROAT ‘ J taroar ‘ i ""cone *! “pet ¢ "" spike! “e-pl Op/0,=13 Op/Dy 21.3 NOZZLE LENGTH = 100% NOZZLE LENGTH = 762% NOZZLE LENGTH = 414% NOZZLE LENGTH = 414% OVERQLL LENGTH = 100% OVERALL LENGTH = 78% OVERALL LENGTH = 51% OVERALL LENGTH = SI% OVERALL DIAMETER = '00% OVERALL DIAMETER = 100% OVERALL DIAMETER =105% = IVERALL DIAMETER = 102.5% THROAT INJECTOR: ‘COMBUSTION: COMBUSTION CHAMBER CHAMBER i rae x _ i Op /07=5 Dp/D, = 10 NOZZLE LENGT4= 249 NOZZLE LENGTH = 14.5% OVERALL LENGT4 = 21% OVERALL LENGTH= 12 % OVERALL DIAMETER = 130% OVERALL DIAMETER = 194 %. "
What are the three variations of radial out-flow nozzles mentioned in the provided information?,"A central body, also called a plug, keeps the gas flow away from a central portion of the nozzle. There are two principal types of annular nozzles. They are the radial in-flow type (spike nozzle) and the radial out-flow type. The latter type, in turn, includes expansion-deflection or E-D, reverse-flow or R-F, and horizontal-flow or H-F nozzles. The nozzles shown above have, all of them, the same level of thrust, the same expansion area ratio, and the same theoretical thrust coefficient Cr (see Chap. "
What is the formula for the expansion area ratio of an annular nozzle in terms of the exit area and the projected area of the central body?,"1, Sect. 1.3). Annular nozzles are shorter than conical or bell-shaped nozzles, and are therefore advantageous over the latter in terms of length and mass of the whole vehicle. 2.4 Configuration and Design of a Thrust Chamber 97 For an annular nozzle, the expansion area ratio ¢ is defined as the ratio of the projected area of the contoured nozzle wall to the area of the throat (A,). The projected area of the contoured nozzle wall, in turn, is the area of the nozzle at the exit plane (A.) minus the projected area of the central body (A,). Therefore Ae — Ap € = ——_ A;. "
What is the significance of the annular diameter ratio in comparing different types of nozzles?,"The preceding figure indicates the values of the annular diameter ratio, D,/D,, where Dy is the diameter of the central body, and D, is the diameter of the throat of an equivalent nozzle having a circular cross section. The value of annular diameter ratio makes it possible to compare an annular nozzle with a conventional (conical or bell-shaped) nozzle."
What is the primary advantage of annular nozzles compared to bell or conical nozzles regarding exhaust gas expansion at high altitudes?,"Annular nozzles are not subject to losses which affect nozzles of the bell or conical type. This is because, in nozzles of the latter type, the exhaust gas may expand to pressures which are considerably smaller than the ambient pressure before the gas flow detaches from the nozzle wall. This over-expansion results in thrust losses at high altitudes. The property of annular nozzles which avoids an over-expansion of the exhaust gas flow is shown in the following figure, due to the courtesy of NASA [5], for an E-D (expansion-deflection) nozzle.. "
What factors influence the pressure variations along the surfaces in a steady flow through a nozzle?,"CONSTANT NOZZLE WALL NOZZLE WALL c CONSTANT: CONSTANT MACH —_ oe : LINE o ae ' t THROAT md ‘ THROAT sce | = r FREE STREAM SURFACE since ZZ 1 STREAM INJECTOR c ! ve W\Cpy, SURFACE; wozzte SHOCK | NozzLE 5 aay mar ~— as CENTER | 1 vt WALL | 80DY CENTER BODY PRESSURE: 1 1 WALL ! i : PRESSURE ! 1 1 ! ' 1 ! i ! Be"
What impact does ambient pressure have on the back face pressure of an E-D nozzle at different altitudes?,"This figure illustrates an E-D nozzle operating at low altitudes (left) and at high altitudes (right). In this figure, p, indicates the pressure at the back face of the central body of the nozzle. The value of p, depends on the value of the ambient pressure Po, and is usually smaller than that of po. The point C indicates the shoulder of the central body. The dashed line CD is a line of constant Mach number. "
What factors influence the flow downstream of point D in relation to the nozzle contour and the surrounding pressure?,"Downstream of the throat, the exhaust gas expands unaffected around the shoulder C of the central body as long as its pressure at the wall is greater than p,. After the gas expands from the throat to the point D along the line CD, the flow downstream of D depends on the nozzle contour DE, and also on the pressure p,, whose value affects the free stream surface of the boundary of the inner jet. The gas flow is deflected by the contour of the curved wall, and therefore is subject to compression, which increases the pressure at the wall. "
How does wall pressure behave at low altitudes regarding exhaust gas attachment in different nozzle shapes?,"This increase in wall pressure at low altitudes is shown on the left-hand 98 2 The Thrust Chamber Assembly side of the preceding figure. At such altitudes, the exhaust gas remains attached to the wall, as is the case with a conical or bell-shaped nozzle.. "
What effect does reduced pressure at elevated altitudes have on gas flow patterns and potential shock wave formation in nozzle systems?,"By contrast, at high altitudes, the value of p, becomes so low, that the gas flow deviates towards the central body. This deviation is shown on the right-hand side of the preceding figure. In such conditions, a shock wave may occur, or the gas flow may continue unaffected up to the exit plane of the nozzle, depending on the flow conditions. This decrease in wall pressure at high altitudes is shown on the right-hand side of the same figure.. "
What type of nozzle features an annular design and discharges exhaust gases with a radial inward velocity component?,"The following figure, due to the courtesy of NASA [36], illustrates a plug (or truncated aerodynamic spike) nozzle, which is an annular nozzle discharging exhaust gas having a radial inward component of velocity. This figure also shows the better performance of this aerospike nozzle in comparison with a bell nozzle in terms of specific impulse."
What are the distinct applications of the Bell nozzle compared to the aerospike nozzle at varying altitudes?,Aerospike fg | nozzle \ cn | oe \ Bell ' ' yar nozzle ' ' masedte™ Bell nozzle Aerospike nozzle Sea level High altitude Altitude
What is the primary benefit of an aerospike nozzle in comparison to a conventional bell-shaped nozzle at varying altitudes?,"The advantage of the aerospike nozzle over the bell-shaped nozzle resides in its ability to adjust with altitude changes to the static pressure of the free stream. This results in a higher specific impulse than that of a bell-shaped nozzle at low altitudes, as shown in the preceding figure. This altitude compensation is due to the shape of the aerospike nozzle, which has a central ramp terminating either in a plug base or in a spike in the centre, and is open to the atmosphere on the sides.. "
Describe the features and benefits of a nozzle design incorporating a central ramp and a plug base.,"An aerospike nozzle having a central ramp terminating in a plug base is shown in the following figure, which is due to the courtesy of NASA [36]. 2.4 Configuration and Design of a Thrust Chamber 99 J ra i. a a ( e a is AS As \ R ey _ | 4 Q"
What effect does altitude have on the static pressure of the environment in relation to nozzle performance?,"The central spike need not be a solid wall, because it can be aerodynamically formed by injecting gases from the engine base, as will be shown below. The exhaust gas is free to expand on the open sides of the nozzle, and to adjust its static pressure with the static pressure of the ambient, which decreases with altitude. Thus, a nozzle of very high area ratio (of high performance in vacuo) can also operate efficiently and safely at sea level.. "
"What type of nozzle is designed for maximum efficiency at a specific altitude, specifically for optimal gas expansion and thrust generation?","By contrast, a bell-shaped nozzle can be designed to be optimum (that is, to operate at its maximum level of efficiency) at only one altitude. By maximum level of efficiency, we mean the optimal expansion of the combusted gas, which results in the maximum thrust. For example, the initial stage of the Saturn rocket, which carried the Apollo astronauts to the Moon, had a narrow bell-shaped nozzle to produce an ideal straight-edged column of exhaust gas at sea level. "
What type of nozzle design is more effective for gas expansion in a vacuum environment?,"However, the command module, which orbited around the Moon, had a much wider bell-shaped nozzle, which was better suited than the nozzle of the initial stage to the expansion of the combusted gas in the vacuum of space.. "
What is the significance of equal static pressures in relation to thrust calculations in nozzle design?,"As shown above, in an aerospike nozzle, the static pressure (p,) of the exhaust gas is the same as the static pressure (po) of the ambient, and therefore the term A.(p. — Po) in the equation of thrust (see Chap. 1, Sect. 1.1):"
What is a method for steering a vehicle using multiple thruster segments?,"F = myve + Ac(Pe — Po) reduces to zero. In addition, an aerospike engine may also be made of individual thruster segments, which can be turned on or off to provide thrust vector control in order to steer the vehicle [37], instead of using one of the techniques described in Sect. 2.2."
What type of nozzle design did the rounded aerospike engine developed by Rocketdyne utilize in its thrust chamber configuration?,"An aerospike rocket engine was developed by Rockwell Aerospace/Rocketdyne Division of Canoga Park, California. In the 1960s, Rocketdyne developed a rounded aerospike engine, whose thrust chamber consisted of a truncated annular spike nozzle, of the radial in-flow type, and a number of discrete combustion chambers arranged around the periphery of the nozzle, so as to discharge their gases along the surface of the nozzle. "
"What shape does the linear aerospike engine discharge gases along, compared to the normal rocket engine's nozzle design?","Subsequently, in 1972, this design gave rise to a linear aerospike engine, 100 2 The Thrust Chamber Assembly where the gases are discharged along the surface of a rectangular wedge rather than around a round spike-shape. The following figure, due to the courtesy of NASA [38], illustrates (left) a normal rocket engine having a bell-shaped nozzle, and (right) the linear aerospike rocket engine designed for the Lockheed-Martin X-33 wing-shaped vehicle, which was a technology demonstrator (cancelled on the 1st of March 2001) for NASA’s “next-generation” of space launch vehicles [39]. Normal Bell-Nozzle Linear Aerospike Rocket Engine Rocket Engine Se ee: CAT IN 7s SC g St Rocket engines of the SR-71. "
What factors influence the efficiency and effectiveness of an aerospike nozzle design?,"The performance of an aerospike nozzle depends on various factors, such as the shape of the nozzle, the amount of the secondary flow (about 1% of the primary flow), the manner of introducing the secondary flow, and the energy ratio of the secondary flow to the primary."
What is the effect of high pressure ratio on gas flow in a rocket engine's nozzle configuration?,"The working principle of an aerospike nozzle can be explained as follows. The following figure, due to the courtesy of NASA [5], illustrates the gas flow, under altitude conditions (that is, high value of the pressure ratio p,/po), of a rocket engine having a toroidal combustion chamber, an annular throat, and a truncated spike nozzle ending in a circular base. 2.4 Configuration and Design of a Thrust Chamber 101. "
What is the primary flow boundary referred to in the context of thrust production in a jet or rocket system?,"a ae 7 PRUARY FLO® ACTS AMMULAR THROAT rt . On WOZZLE, if See YW \ PRODUCING THRUST Woe SECONDARY FLOW ACT: ROTELE SAE : \\ \y i/ \\ ov bate, PRODUCE z \\ / Lv \ rust OUTER FREEJET —oe \ \ f \ PRIMARY FLOW BOUNDARY 4 | d | (REGION 1) | | E RechecuLarine ° Ui Haste fai a FLOW {PEGION 2) TRAILING SHOCK"
What phenomenon generates thrust by expanding exhaust gas along a nozzle wall?,"The primary flow of the exhaust gas expands along the wall of the nozzle, in the Region | of the preceding figure, and generates thrust. The primary flow continues to expand beyond the base of the nozzle, and gives rise to a subsonic recirculating flow in the Region 2 of the same figure. The pressure acting on the base generates additional thrust. By adding a small amount of secondary flow to the recirculating flow at the base of the nuzzle, the pressure acting on the base is increased further. "
What factor influences the maximum efficiency increase and defines the ideal secondary flow amount for various nozzle shapes?,"There is a limit to this increase in efficiency, which determines the optimum amount of secondary flow to be added for each given shape of the nozzle. The outer surface of the primary flow is the boundary of a free stream, and therefore depends on the ambient pressure. This fact provides the property of altitude compensation to the aerospike nozzle illustrated above.. "
What relationship does the thrust coefficient express concerning the pressure ratio of the static combustion chamber pressure to ambient pressure in nozzle types?,"The performance of the gas expansion in nozzles of various types can be expressed by means of a graph of the thrust coefficient Cr (defined in Chap. 1, Sect. 1.3) versus the pressure ratio p,/po of the static pressure in the combustion chamber p, to the ambient pressure po. In the following figure, due to the courtesy of NASA [5], we consider the thrust coefficient Cr for: (a) an ideal nozzle of variable expansion area ratio having the optimum expansion for any value of the pressure ratio p,/po, (b) an aerospike nozzle of high area ratio, and (c) a bell-shaped nozzle of high area ratio. "
Which nozzle type exhibits closer performance to the ideal design according to pressure ratio measurements in the graph presented?,"This graph shows that the dashed line of the aerospike nozzle approximates the solid line of the ideal nozzle much better than does the dash-and-dot line of the bell-shaped nozzle. 102 2 The Thrust Chamber Assembly IDEAL NOZZLE (NO LOSSES) J et z 5 ea us et, HISH-AREA*RATIO QO) AeROSPIKE NOZZLE go te 7 wi ~ (3) ¢ oO / / —_ ~ HIGH*AREA-RATIO 8 ’ ae BELL NOZZLE 4 és ‘ x= . -_ / ws / N /SEALEVEL (VACUUM) / ‘ Ps) OPERATING RANGE Zz SEA LEVEL (vacuum) be = OPERATING RANGE vty ! » 100-200 KO S00 100020004000 PRESSURE RATIO (PSP, ) 0. "
How does the thrust coefficient change in relation to the pressure ratio for the three indicated types of nozzle?,"The same graph also shows that, for all the three types of nozzle indicated above, the value of the thrust coefficient Cr increases with the value of the pressure ratio PclPo-"
What are two benefits and one drawback associated with using aerospike nozzles in rocket engine design?,"The choice of an aerospike nozzle instead of a traditional nozzle has important consequences on the design of a rocket engine, particularly in case of multistage rockets. Huzel and Huang [5] have identified four advantages and three disadvantages of aerospike nozzles, in the following order:"
"What advantages accompany a shorter length and reduced mass in engine design, specifically regarding the installation of auxiliary components?","e shorter length, and therefore reduced mass, for the same performance;¢ possibility of using the stagnant region in the centre of the nozzle to install gas generators, turbo-pumps, tanks, auxiliary equipment, and turbine gas discharges;"
"What propulsion method involves multiple engines arranged around a specially shaped component, as opposed to using a single large engine?","e possibility of propelling a rocket vehicle by means of a cluster of engines around a contoured plug instead of a large single engine, as shown in the following figure, due to the courtesy of NASA [40];"
What is the purpose of using a high expansion area ratio in the design of bell nozzles for exhaust gas expansion?,The following figure shows a cluster of bell nozzles of high expansion area ratio which have been scarfed for the external expansion of their exhaust gases. 2.4 Configuration and Design of a Thrust Chamber 103 = —— . ee ze | Propellant 4 ' Tank \ Oy —_ =“ rr y SN d~\ ILS » GI trust ¢ [ 7 Structure aan ule Modules Me y Scarfed Nozzles ez (Replacing Plug) QO .> a Base Area
What type of nozzle is described as having a lower end terminated at the intersection of characteristics from the upper wall?,"By the way, according to the definition given by Shyne and Keith [41], a scarfed nozzle is a two-dimensional asymmetric nozzle whose lower end (the cowl) is termi- nated at the point where the last characteristic which emanates from the upper nozzle wall (the ramp) intersects the cowl."
What are the key benefits of using aerospike nozzles in rocket engine stages?,"According to Aukerman [36], there are two distinct applications for aerospike nozzles:e the first stage of a rocket, where the external expansion of the exhaust gas makes it possible to increase the effective expansion area ratio of the engine, due to the property of altitude compensation; and"
What adjustments can be made to rocket nozzles for stages functioning at elevated altitudes or in outer space to maintain performance efficiency?,"e the stages operating at high altitudes or in space, where the nozzle can be truncated to a very short length, with minimum detriment of performance."
What size range of aerospike engines was tested by Pratt & Whitney Rocketdyne during the 1960s?,"According to O’Leary and Beck [42], during the 1960s, Pratt & Whitney Rock- etdyne tested numerous aerospike engines, ranging in size from subscale, cold-flow models to a 1.112 x 10° N thrust oxygen/hydrogen engine, which was tested at a test stand in Nevada."
What is the desired thrust in Newtons for the first stage of a rocket using liquid oxygen and RP-1?,"A numerical example of design of a thrust chamber is given below. Let us consider arocket whose first stage burns a combination of liquid oxygen with RP-1 (kerosene), and has the data given in Sect. 2.3. Let Fy. = 3.323 x 10° N be the desired thrust of the first stage at sea level."
What is the design value of the thrust coefficient at sea level as mentioned in the specified section?,"As has been shown in Sect. 2.3, the design value of the thrust coefficient at sea level is Cr = 1.530, the total absolute pressure in the combustion chamber at the nozzle inlet is (p.),; = 6.895 x 10° N/m?, and the expansion area ratio of the nozzle is € =A_/A, = 14. After substituting these values in the following equation of Chap. 1, Sect. 1.3"
What is the calculated radius of the nozzle cross-section at the throat plane given the area equation and provided values?,"é F F= 77 Ai (Po) ns 104 2 The Thrust Chamber Assembly and solving this equation for the area A, of the cross section of the nozzle at the throat plane, there results F 3.323 x 10° A, = ——— = Se = 03150? Cr(Pe)ny 1-530 x 6.895 x 106 The radius R, of the cross section of the nozzle at the throat plane is 1 1 A, \? 0.3150 \ ? R,=(—) =(——) =0.3166m ba 3.1416"
What is the radius of the cross section at the exit plane if the expansion area ratio is 14 and the initial radius is 0.3166 m?,"Since the expansion area ratio of the nozzle is ¢ = A,/A; = 14, then the radius ofthe cross section of the nozzle at the exit plane is R. = €? R, = 14? x 0.3166 = 1.185m"
"What is the characteristic length in meters chosen for a combustion chamber using liquid oxygen with RP-1, as specified in the recommendations?","The table of Sect. 2.4 gives recommended values of the characteristic length L* of a combustion chamber for various combinations of propellants. In case of the combination of liquid oxygen with RP-1, this table indicates a value of L* falling in the interval from 1.0 m to 1.3 m. We choose L* = 1.143 m. This makes it possible to determine the volume V,. of the combustion chamber by means of the following equation of Sect. 2.4. "
What is the calculated volume when the values are L* = 1.143 m and A = 0.3150 m?,"After substituting L* = 1.143 m and A, = 0.3150 m? in the preceding equation, we find V, = 0.3600 m3."
What is the range of the semi-aperture angle in the converging section of the nozzle?,"As has been shown in Sect. 2.4, the value of the angle 6 of semi-aperture in the converging portion of the nozzle ranges from 0.3491 rad to 0.7854 rad. We take 0 = 0.3491 rad. We also take 1.6 for the contraction area ratio ¢, = A,/A;, where A, = sR? is the cross-sectional area of the combustion chamber."
What is the range of the radius of the nozzle's contour upstream of the throat in relation to the throat radius?,"As has also been shown in Sect. 2.4, the contour of the nozzle upstream of the throat plane is a circular arc, whose radius R ranges from 0.5 to 1.5 times the radius R, of the throat. We take"
What is the radius of the cross-section of a combustion chamber if the contraction area ratio is 1.6 and the selected reference radius is 0.3166 meters?,"R=1.5R, = 1.5 x 0.3166 = 0.4749m Since 1.6 is the value chosen for the contraction area ratio A,/A,, then the radius R. of the cross-section of the cylindrical combustion chamber is 1 A.\? 1 Re= () R, = 1.6? x 0.3166 = 0.4005 m t 2.4 Configuration and Design of a Thrust Chamber 105"
What is the semi-aperture angle in radians for the converging part of the nozzle?,"Since the converging portion of the nozzle is a cone, whose semi-aperture angle is 6 = 0.3491 rad, then the length L.o,, of the converging portion of the nozzle results from the following formula of Sect. 2.4After substituting R, = 0.3166 m, A,/A; = 1.6, R = 0.4749 m, and 0 = 0.3491 rad in the preceding equation, we find Leon, = 0.3142 m."
What is the formula for calculating the approximate volume of the converging section of a nozzle given the radii of the bases and height?,"Since the volume of a frustum of a right circular cone is 'yrch(R?2 + Rr + r?), where R and r are the radii of the two circular bases and h is the height of the frustum, then the approximate volume Vo, of the converging portion of the nozzle is"
What is the volume of the cylindrical combustion chamber from the internal face of the injector to the inlet plane of a nozzle?,"Veony =!/3x3.1416x0.3142 x (0.40052-+0.4005 x0.3166+0.31662)=0.1275 m3This value is approximate, because the rounding at the throat plane and the rounding at the inlet plane of the nozzle are not taken into account.The volume V,y; of the cylindrical combustion chamber, whose length goes from the internal face of the injector to the inlet plane of the nozzle, is"
What is the measurement of the length of a cylindrical combustion chamber?,"The length L,,; of this cylindrical combustion chamber is"
What is the true length of the diverging section of a conical nozzle if its fractional length is 80% of a 7/12 rad equivalent?,"Vey 0.2325 Loy = 2b = SS = 0.4613 m . 1.6A, 1.6 x 0.3150The total distance Lioiq from the internal face of the injector to the plane of thethroat is Lyotat = Leyt + Leony = 0.4613 + 0.3142 = 0.7755 mFor the diverging portion of the nozzle, we choose a fractional length Ly = 80% of a 7/12 rad equivalent conical nozzle. Therefore, the true length L,, of the diverging portion of the nozzle is"
Simplify the expression: R = -4|3 - 1 + 1.5(-1 - 100 tan(0.2618) cos(0.2618)). What is the resulting value of R?,R 1 Ly = = —4_| 3 —1 +1.5(—___- 1 100 tan 0.2618 cos 0.2618
What are the optimum values of the wall angles in radians for the given parameters?,"After substituting n = 80, R,; = 0.3166 m and ¢ = A,/A, = 14 in the preceding equation, we find L,, = 2.642 m. Let us consider again the following figure, adapted from [5]. 106 2 The Thrust Chamber Assembly : 6. PARABOLA: 1.5 Re. 382 R, 9, R, = VE Rr N T Rt y CIRCLE Ly @ THROAT We take the optimum values of the wall angles @,, and 6, from the Rao curves for Ly = 80% and ¢ = 14. These curves indicate 6,, = 0.4782 rad and 6, = 0.1710 rad. "
"What is the angle that subtends the circular arc TN, given as a value in radians?","Then, we take a = 6,, = 0.4782 rad for the value of the angle a which subtends the circular arc TN of radius 0.382 R;, where N is the inflexion point of the nozzle contour. We use again the system of reference Oxy, whose origin O is on the axis of symmetry of the nozzle, in the plane of the throat, whose x-axis is the axis of symmetry of the nozzle pointing downstream, and whose y-axis is perpendicular to the axis of symmetry and points upward. "
What geometric shape is utilized for the section of the nozzle between the inflection point and the exit plane?,"The co-ordinates x and y of the points N and E in the system of reference defined above are Xy = 0.382R, sina = 0.382 x 0.3166 x sin 0.4782 = 0.05566 m yn = R,[1 + 0.382(1— cos a)] = 0.3166 x [1 + 0.382 x (1— cos 0.4782)] = 0.3302m xg =L, = 2.642m ye = Rp =e?R, = 14? x 0.3166 = 1.185m A parabola is chosen for the segment of nozzle going from the inflexion point N to the point E laying on the exit plane of the nozzle. "
What is the equation of the straight line that is tangent at point N to the parabola?,"In order to determine the co- ordinates x and y of each point of this parabola, we use again the analytical method suggested by Newlands [31], as will be shown below. The equation of the straight line NQ tangent in N to the parabola is y— yn = (& — xy) tan 6, In the present case, the equation of NQ is y = 0.5183 x + 0.3014. The equation of the straight line EQ tangent in E to the parabola is Y— ye = (x — xe) tan 6, 2.4 Configuration and Design of a Thrust Chamber 107. "
Find the coordinates of the intersection point Q between the lines described by the equations y = 0.1727x + 0.7288 and y = 0.5183x + 0.3014.,"In the present case, the equation of EQ is y = 0.1727 x + 0.7288.The straight line NQ (whose equation is y = 0.5183 x + 0.3014) intersects the straight line EQ (whose equation is y = 0.1727 x + 0.7288) in the point Q, whose co-ordinates are easily found to be"
What mathematical representation can describe the parabolic segment between two points using a quadratic curve?,"Since the co-ordinates of the points N, Q, and E are known, then the parabolic segment of nozzle going from N to Ecan be expressed by means of a Bézier quadratic curve having the following parametric equations"
What are the coefficients of the polynomial terms for x(t) in the expression given for the interval 0 < t < 1?,"x(t) =(—1?xy +20 —dtxg+Pxe O<t< 1) y= -t)yw +20 —dtyot Pye Ost IIn the present case, after substituting the values of (xy, yy), (XQ, Yo), and (Xz, Ye)computed above into the preceding equations, there results x(t) = 0.05566(1 — 1)? + 2.474(1 — t)t + 2.6421? (O<1 < 1) y(t) = 0.3302(1 — ty + 1.8850 —nr+ 1.1857 (0<t< 1)"
What is the oxidiser-to-fuel mixture ratio at the thrust chamber of the rocket?,"Another numerical example is given below. It concerns the design of a thrust chamber for a rocket whose second stage burns a combination of liquid oxygen with liquid hydrogen, and has the properties specified in Sect. 2.3, which are also given here for convenience. The oxidiser-to-fuel mixture ratio at the thrust chamber is olf = 5.22, the total absolute pressure and the total temperature in the combustion chamber at the nozzle inlet are respectively (pe)ns = 5.516 x 10° N/m? and (T.)ns = 3356 K, the molar mass of the combusted gas is M = 12 kg/kmol, the specific heat ratio of the combusted gas is y = 1.213, and the expansion area ratio of the nozzle is A./A, = 40. Let F;, = 6.650 x 10° N be the desired thrust of the second stage in vacuo.. "
What is the substitution value for the thrust coefficient in a vacuum as indicated?,"As has been shown in Sect. 2.3, the design value of the thrust coefficient in vacuo is Cr = 1.890. By substituting this value and (p.)ns = 5.516 x 10° N/m? in the following equation of Chap. 1, Sect. 1.3"
"What is the calculated area of the nozzle's cross section at the throat plane, given the provided parameters?","é F F= > At (Po) ns and solving this equation for the area A, of the cross section of the nozzle at the throat plane, there results F 6.650 x 10° 2 A, = ——— = ———_——_— _. = 0.06379 m’ Cr(De)ns_ 1-890 x 5.516 x 10° 108 2 The Thrust Chamber Assembly"
What is the calculated radius of the cross section at the exit plane given an area ratio of 40 and an initial radius of 0.1425 m?,"The radius R, of the cross section of the nozzle at the throat plane isSince the expansion area ratio of the nozzle is ¢ = A,/A; = 40, then the radius ofthe cross section of the nozzle at the exit plane is R. = €? R, = 40? x 0.1425 = 0.9012 mBy using the values given in the table of Sect. 2.4, we choose L* = 0.6604 m for the characteristic length of the combustion chamber."
What factors contribute to determining the capacity of a combustion chamber according to the specified section in the text?,"The volume V,. of the combustion chamber results from the following equation of Sect. 2.4"
"What is the calculated volume when L* equals 0.6604 m and A, equals 0.06379 m?","After substituting L* = 0.6604 m and A, = 0.06379 m? in the preceding equation, we find V. = 0.6604 x 0.06379 = 0.04213 m3.We take 6 = 0.3491 rad for the value of the angle of semi-aperture in the converging portion of the nozzle. We also take 1.6 for the contraction area ratio ¢, = A,/A;, where A= aR? is the cross-sectional area of the combustion chamber."
What is the maximum and minimum radius range for the contour of the nozzle upstream of the throat plane relative to the throat radius?,"The contour of the nozzle upstream of the throat plane is a circular arc, whose radius R ranges from 0.5 to 1.5 times the radius R, of the throat. We take"
Calculate the radius of a cylindrical combustion chamber if the contraction area ratio is 1.6 and the initial radius is 0.1425 meters.,"R=1.5R, = 1.5 x 0.1425 = 0.2138m Since 1.6 is the value chosen for the contraction area ratio A,/A,, then the radius R. of the cross-section of the cylindrical combustion chamber is 1 A.\? 1 Re= (<) R, = 1.6? x 0.1425 = 0.1802 m t"
What is the formula used to calculate the length of a converging nozzle portion based on its semi-aperture angle?,"Since the converging portion of the nozzle is a cone, whose semi-aperture angle is 6 = 0.3491 rad, then the length L,,,, of the converging portion of the nozzle results from"
"What value is obtained for Leon after substituting specific measurements, including R values and angular displacement?","After substituting R, = 0.1425 m, A,/A; = 1.6, R = 0.2138 m, and 0 = 0.3491 rad in the preceding equation, we find Leon, = 0.1414 m."
Calculate the total length from the injector's internal face to the nozzle's throat plane if the cylindrical combustion chamber length is 0.2989 m and converging portion length is 0.1414 m.,"The approximate volume Von, of the converging portion of the nozzle is 2.4 Configuration and Design of a Thrust Chamber 109 Veony = ; x 3.1416 x 0.1414 x (0.18027 + 0.1802 x 0.1425 + 0.14257) = 0.01162 m3 The volume V,y; of the cylindrical combustion chamber, whose length goes from the internal face of the injector to the inlet plane of the nozzle, is Veyt = Ve — Veony = 0.04213 — 0.01162 = 0.03051 m The length L,,; of the cylindrical combustion chamber is L Vey 0.03051 0.2989 = 164, 1.6x 0.06379 The total distance Lioiq from the internal face of the injector to the plane of the throat is Liotat = Leyt + Leony = 0.2989 + 0.1414 = 0.4403 m For the diverging portion of the nozzle, we choose a fractional length Ly = 75% of a 7/12 rad equivalent conical nozzle. "
"What is the calculation for the true length of the diverging segment of a nozzle given n, R, and the area ratio?","Therefore, the true length L,, of the diverging portion of the nozzle is L,= 0 ® [8 yp as(—1 4 = — z— . _ ""= 700 tan 0.2618 | © cos 0.2618 After substituting n = 75, R,; = 0.1425 m and ¢ = A,/A, = 40 in the preceding equation, we find L, = 2.145 m. We take the optimum values of the wall angles @,, and 6, from the Rao curves for L, = 75% and € = 40. These curves indicate 0,, = 0.5760 rad and 6, = 0.1614 rad. "
What is the value of the angle subtended by the arc TN in radians?,"We also take a = 0,, = 0.5760 rad for the value of the angle a which subtends the circular arc TN of radius 0.382 R;, where N is the inflexion point of the nozzle contour. The co-ordinates x and y of the points N and E in the system of reference defined above are xv = 0.382R, sina = 0.382 x 0.1425 x sin 0.5760 = 0.02965 m yn = R,{1 + 0.382(1 — cos a@)] = 0.1425 x [1+ 0.382 x (1 — cos 0.5760)] = 0.1513 m xg =L, =2.145m ye = Re =€?R, = 40? x 0.1425 = 0.9013 m A parabola is chosen for the segment of nozzle going from the inflexion point N to the point E laying on the exit plane of the nozzle. "
