anchor,positive,quality,technical_level
What limits the durability of an MoS2 layer in bearings?,"The life span of an MoS, layer is limited by ab- rasive wear. Bearings with an MoS, coating are often equipped with cages which allow for dry lubrication as well (e.g., made of PTFE).. ",True,2
What is the effect of glass fibers on the properties of PTFE when used as a lubricant?,"Polymers suited for dry lubrication can be uti- lized for sliding contacts. PTFE is frequently used and can be reinforced optionally with glass fibers; in some cases it contains an admixture of MoS,. The low friction of PTFE-lubricated components can be explained by the transfer of a small amount of PTFE onto the opponent body (transfer lubrication). In a vacuum the friction coefficient remains practically invariant. ",True,3
What friction characteristic of PTFE makes it suitable for low initial resistance applications?,"Contrary to most other dry lubricants, PTFE has a static friction coefficient which is equal to the sliding friction coefficient. PTFE is therefore particularly suitable for moderately loaded, slowly moving mechanisms requiring low initial friction. It can be used for temperatures up to 280 °C and the compressive load should not exceed 800 N/mm?. Are- as of application include sliding bearings and hinges, but also rolling bearing cages because the latter are also subject to sliding strain. ",True,3
What is a disadvantage of polyimides compared to PTFE in applications?,"Apart from PTFE, poly- imides are also used, in particular for highly stressed components, but their sliding properties are worse than those of PTFE. Polyamides, on the other hand, are used only rarely. Polymers are used in most cases without any additional coating; however, their load- bearing capability is significantly lower than that of metallic materials.. ",True,3
What are the benefits of pairing ceramics with metals or polymers in minimizing wear?,"Current investigations are not only focused on an improved separation of the surfaces by means of dry lubricants, but also focused on material pairings based on different material classes, which helps to minimize adhesive wear. Pairings of ceramics and metals as well as of ceramics and polymers are particularly suited. Bearings composed of steel rings and ceramic rolling elements are called hybrid bearings (Figure 4.1.41).. ",True,2
What is the advantage of using a silver coating on angular ball bearings in spacecraft systems?,4 Subsystems of SpacecraftFigure 4.1.41: Hybrid angular ball bearing with silver coating for dry operation (Source: CEROBEAR GmbH).,True,4
What impact did hybrid bearings have on the lifespan of turbopump bearings in the Space Shuttle?,"They can be operated with extremely small amounts of lubricant, and some of them can also operate in low-viscous media. Investigations on completely dry running bearings in a vacuum have proven that under certain circumstances hybrid bearings can operate even without any lubrication. In these cases the rolling elements are made of silicon nitride (Si;N,) or zirconium oxide (ZrO,). In the case of the Space Shuttle, for instance, the replacement of steel bearings in the turbopumps of the main engine by hybrid be- arings has increased the life span of these bearings by a factor of 60. ",True,4
What is the temperature at which the bearings operate in cryogenic liquid hydrogen?,"In this application the only lubricating medium is the propellant itself; that is, the bearings are operated in cryogenic liquid hydrogen at —253 °C. Research and development work focused on hybrid bearings in space mechanisms is ongoing.. ",True,2
What factors must be coordinated to ensure effective thick-film lubrication in bearings?,"Liquid lubricants are still indispensable for ap- plications where high reliability and durability are required and the speed is high. The design of the appropriate bearings is aimed at operation in the hydrodynamic (thick-film) lubrication range, for which the bearing size and geometry, load, rotational speed and lubrication need to be harmonized. Strong deviations from the optimal operating point lead to increased friction and wear if the bearing is operated in the mixed friction range. Lubricants for space ap- plications should have a minimum evaporation rate in vacuum. Hence high molecular and low-volatility. ",True,4
What is the importance of understanding structures in mechanical design?,2/24/09 3:40:05 PM 4.1 Structure and Mechanisms,True,3
What factors can accelerate the aging of PFPE lubricants in friction applications?,"lubricants are used, the most important ones being oils and greases based on perfluoropolyether (PFPE), occasionally also on polyalphaolefine (PAO). Con- ventional hydrocarbon lubricants are seldom used. Under certain conditions, however, PFPE lubricants tend to accelerate aging due to chemical reactions between the lubricant and the material of the fric- tion partners. Aging is additionally accelerated by operation in the mixed friction range, and by using aluminum and titanium surfaces, low-alloyed steels, high loads and high temperatures. ",True,4
What can help prevent creeping in PFPE lubricants during operation?,"In contrast the use of ceramics or high-alloyed steels, limited loads and moderate temperatures contribute to a pro- longation of the life span of PFPE lubricants. They have good adhesion on metallic surfaces and tend to creep. Creeping can be avoided by the construction of creep barriers (labyrinths) or by adhesive lacquers with a low surface energy. A more elaborate overview regarding the use of lubricants and their trade names can be found in [4.1.46].. ",True,3
What is the focus of the guide related to materials for space structures?,"ALL ESA/ESTEC (eds.) Aide Memoire on Structural Mate-rials and Space Engineering. ESA-PSS-03-212, Issue 1,4.1.2 ESA/ESTEC (eds.) BepiColombo Experiment InterfaceDocument, Part A (EID-A). SCI-PB-RS-1140 (Draft),413 ESA/ESTEC (eds.) Structural Materials Handbook.414 ASM International (ed.) Metals Handbook, Volume 2,Properties and Selection: Non-ferrous Alloys and Special",True,3
What factors should be considered when selecting a material for a specific application?,"Purpose Materials, Tenth Edition. Metals Park, OH: ASM,",True,2
What publication covers composites as outlined in a handbook?,"415 Hussey, R., Wilson, J. (eds.) Light Alloys Directory andHandbook. London: Chapman and Hall, 1998.4.1.6 Carbon and High Performance Fibres Directory, Sixth Edi-tion. London: Chapman and Hall, 1995.4.1.7 ASM International (ed.) Engineering Materials Hand-book, Volume 1, Composites. Metals Park, OH: ASM,4.1.8 Ehrenstein, G.W. Faserverbundkunststoffe, 2nd Edition.Munich: Carl Hanser Verlag, 2006.",True,2
What is the main focus of the material science covered in the specified reference?,"4.1.9 Menges, G., Haberstroh, E., Michaeli, W. Werkstoffkunde Kunststoffe, 5th Edition. Munich: Carl Hanser Verlag, 2002.",True,2
What is the focus of the work by Heissler published in 1986?,"4.1.10] Heissler, H. Verstdrkte Kunststoffe in der Luft- und Raum-fahrttechnik. Stuttgart: Kohlhammer, 1986.Plantema, F.J. Sandwich Construction. New York: JohnWiley & Sons, Inc., 1966.Allen, H.G. Analysis and Design of Structural Sandwich Panels. Oxford: Pergamon Press, 1969.",True,3
Identify the primary focus of mechanics in laminated and sandwich structures.,"Altenbach, H., Altenbach, J., Rikards, R. Einfiihrung in die Mechanik der Laminat- und Sandwichtragwerke. Stuttgart: Deutscher Verlag fiir Grundstoffindustrie, 1996.",True,2
"What is the primary focus of the 1994 publication by Michaeli, Huybrechts, and Wegener?","Michaeli, W., Huybrechts, D., Wegener, M. Dimensionie- ren von Faserverbundkunststoffen. Munich: Carl Hanser Verlag, 1994.BEOSAT Projektunterlagen der Arbeitsgemeinschaft ERIG am Institut fiir Luft- und Raumfahrtsysteme der TU Braunschweig, 2006.",True,4
What are the key considerations in the design and creation of injection molds?,"Menges, G., Michaeli, W., Mohren, P. How to Make Injection Molds. Munich: Carl Hanser Verlag, 2001. Kleineberg, M., Herbeck, L., Schéppinger, C. Advan- ced Liquid Resin Infusion — A New Perspective for Space Structures. Proceedings, European Conference on Spacecraft Structures, Materials and Mechanical Testing, Toulouse, December 11-13, 2002.",True,3
"What is the primary focus of the study presented by Kleineberg, Herbeck, and Schéppinger at the SAMPE Symposium?","Kleineberg, M., Herbeck, L., Schéppinger, C. Industria- lisierung der Prozesskette Harzinfusion. 9. Nat. SAMPE- Symposium, Clausthal, 2003.Meyer, M., Herbeck, L. Microwave Effects on CFRP Pro- cessing. 26th SAMPE Europe Conference and Exhibition, JEC, Paris, April 5-7, 2005.",True,3
What is the primary purpose of the NetLander Geophysical Network on Mars?,"Marsal, O., Venet, M., Counil, J. L. et al. The NetLander Geophysical Network on the Surface of Mars: General Mission Description and Technical Design Status. Pro- ceedings (IAF-01), 52nd International Astronautical Congress, Toulouse, October 1-5, 2001, and Acta As- tronaut., 51 (1-9), 379-386, 2001.",True,3
What is the purpose of conducting thermal vacuum outgassing tests on materials intended for space applications?,"ESA/ESTEC (eds.) Thermal Vacuum Outgassing Test for the Screening of Space Materials. ECSS-Q-70-02A, Noordwijk, 2000.Rabek, J.E. Polymer Photodegradation. London: Chapman and Hall, 1994.",True,3
What is the focus of the work by Gorney et al. in relation to space activities?,"Gorney, D.J. et al. The Space Environment and Surviva- bility. In Larson, W.J., Wertz, J.R. (eds.), Space Mission Analysis and Design, Second Edition. Dordrecht: Kluwer Academic and Torrance, CA: Microcosm Inc., 1992. ESA/ESTEC (eds.) Insert Design Handbook. ECSS-HB-306, 2008.",True,2
What is the primary advantage of using carbon fibre tube inserts in fastening applications?,"Block, J., Brander, T., Lambert, M. et al. Carbon Fi- bre Tube Inserts — A Light Fastening Concept with High Load Carrying Capacity. Proceedings, European Conference on Spacecraft Structures, Materials and Mechanical Testing, Noordwijk, May 10-12, 2005, ESA SP-581.",True,3
What is the focus of the study discussed at the 5th International Conference on Low-Cost Planetary Missions?,"Romberg, O., Bodendieck, F., Block, J. et al. NetLan- der Thermal Control. Proceedings, 5th International Conference on Low-Cost Planetary Missions, ESTEC, Noordwijk, September 24-26, 2003.",True,3
What type of mechanisms are discussed in relation to spacecraft construction?,"Sarafin, T.P., Larson, W.J. (eds.) Spacecraft Structures and Mechanisms — from Concepts to Launch. Dordrecht: Kluwer Academic and Torrance, CA: Microcosm Inc., 1995,2/24/09 3:40:11 PM 236",True,2
What type of materials were utilized in the design of the booms mentioned in the study?,"Herbeck, L., Leipold,, M., Sickinger, C. et al. Development and Test of Deployable Ultra-Lightweight CFRP Booms for a Solar Sail. Proceedings, European Conference on Spacecraft Structures, Materials and Mechanical Tes- ting, Noordwijk, November 29—December 1, 2000, ESA SP-468.",True,4
What is the main focus of the study presented by Sickinger and Breitbach in their conference proceedings?,"Sickinger, C., Breitbach, E. Ultra-Lightweight Deploy- able Space Structures. Proceedings, 4th International Conference on Thin-Walled Structures, Loughborough, England, June 22-24, 2004.",True,3
What are the considerations involved in the design and verification of deployable structures?,"Sickinger, C., Herbeck, L., Strdhlein, T. et al. Light- weight Deployable Booms: Design, Manufacture, Veri- fication, and Smart Materials Application. Proceedings (IAC-04-1.4.10), 55th International Astonautical Con- gress, IAF/IAA/IISL, Vancouver, Canada, October 4-8, 2004.",True,3
What is the focus of adaptive concepts in CFRP structures according to Sickinger et al.?,"Sickinger, C., Herbeck, L., Strohlein, T. et al. Strukturme- chanik entfaltbarer CFRP Booms: Analyse, Herstellung, Verifikation und Anwendung adaptiver Konzepte. Deut- scher Luft- und Raumfahrtkongress (DGLR), Dresden, September 20-23, 2004.Bathe, K.J. Finite-Elemente-Methoden (Ubersetzt von Zimmermann, P.), 2nd Edition. Berlin: Springer Verlag, 2002.",True,4
Identify two numerical methods commonly used for solving practical engineering problems.,"Mayr, M., Thalhofer, U. Numerische Lésungsverfahren in der Praxis. Munich: Carl Hanser Verlag, 1993.",True,2
What are the key design principles for space instrumentation according to the authors listed?,"Harris, C. (ed.) Shock and Vibration Handbook, Fourth Edition. New York: McGraw-Hill, 1995.Cruise, A.M., Bowles, J.A., Patrick, TJ. et al. Principles of Space Instrument Design. Cambridge: Cambridge University Press, 1998.Pfeil, D. NetLander Petal Opening and Uprighting Me- chanisms. Abschlussbericht Phase B, Giesen/Hildesheim, 2002.",True,3
What are essential factors to consider when designing spacecraft mechanisms?,"Phinney, D.D., Britton, W.R. Developing Mechanisms. In Sarafin, T.P., Larson, W.J. (eds.), Spacecraft Structures and Mechanisms — from Concepts to Launch. Dordrecht: Kluwer Academic and Torrance, CA: Microcosm Inc., 1995,",True,3
What are the benefits of utilizing piezoceramic patch actuators in structural design?,"Wierach, P., Monner, H.P., Schénecker, A. et al. Ap- plication Specific Design of Adaptive Structures with Piezoceramic Patch Actuators. In McGowan, A.-N. (ed.), Smart Structures and Materials 2002, SPIE Proceedings, Vol. 4698, 2002.",True,4
What are the characteristics of adaptive satellite mirrors discussed in the provided material?,"Diirr, J.K., Herold-Schmidt, U., Zaglauer, H. et al. Smart Composites for Adaptive Satellite Mirrors. Proceedings, Adaptronic Congress, Potsdam, April 4-5, 2000. Hallmann, W. Beispiele ausgefiihrter Mechanismen und konstruktiver Details. In Hallmann, W., Ley, W. (eds.), Handbuch der Raumfahrttechnik, 2. Edition. Munich: Carl Hanser Verlag, 1999.",True,4
What types of issues can arise in spacecraft due to tribological failures?,"Czichos, H., Habig, K.-H. Tribologie Handbuch. Wiesba- den: Vieweg Verlag, 1992.Mller, U.J., Boor, U. Schmierstoffe im Betrieb. Diisseldorf: VDI Verlag, 2004.4 Subsystems of Spacecraft4.1.43]  Fusaro, R. Preventing Spacecraft Failures due to Tribo-logical Problems. NASA/TM-2001-210806.4.1.44] Jones, W., Jansen, M. Space Tribology. NASA/TM-2000-209924, Glenn Research Center, May 2001.",True,4
What are the characteristics of advanced hybrid rolling element bearings as described by Bursey and colleagues?,"4.1.45]  Bursey, R. et al. Advanced Hybrid Rolling Element Bea-",True,4
What are the components related to the Space Shuttle's propulsion system discussed in the referenced technical papers?,"rings for the Space Shuttle Main Engine High PressureAlternate Turbopumps. 32nd AIAA/ASME/SAE/ASEEJoint Propulsion Conference, Lake Buena Vista, FL, July4.1.46] AEA Technology (ed.) Space Tribology Handbook, War-rington: ESTL, 1997.4.1.47] Mertz, J. Praxishandbuch moderne Beschichtungen. Mu- nich: Carl Hanser Verlag, 2001.4.2 Electrical Power SupplyWilfried Ley and Reinhard Roder",True,4
What is the maximum power level provided by a spacecraft's electrical power system?,"Electrical power is needed for the operation of all active spacecraft systems and subsystems. The electrical power system (EPS) of a spacecraft comprises power conversion, power conditioning, energy storage, overvoltage and overcurrent protection, and power distribution to the various users via the on-board low-voltage power distribution systems. A spacecraft’s power system provides power levels ranging from a few watts up to the 50kW currently distributed at voltages between 20 and 125V. The completely inte- grated International Space Station (ISS) with 110kW represents an exceptional power demand.. ",True,3
What is the role of high-voltage technologies in spacecraft regarding power supply systems during missions?,High-voltage technologies on spacecraft are increasingly used for the power supply of electrical propulsion systems.The EPS has to maintain the energy supply of con- nected users during all mission phases and under all the environmental constraints encountered in space in a secure and maintenance-free manner.,True,3
What is the consequence of a power failure in unmanned space vehicles?,"An important requirement, at least for unmanned space vehicles, is that the EPS autonomously maintains the spacecraft power supply in all possible failure conditions, without operational intervention from the ground. A power failure causes in almost all cases the irreversible total loss of the spacecraft. Recovery of the spacecraft and a return to nominal operation",True,3
What may allow recovery of spacecraft power after a loss due to ground control action?,2/24/09 3:40:11 PM 4.2. Electrical Power Supply}] Power distribution }-—») Power consumerEnergy storage |-—>| contiFigure 4.2.1: The essential functional blocks of an electrical power system for a spacecraft.after a power loss by ground control intervention is only possible if its telecommunication system and its orbit and attitude control systems remain operational.,True,2
What are the essential characteristics needed for an electric power steering system?,"All these requirements call for a well-designed, robust and reliable EPS with all functions verifiable by test.",True,3
What are the four main functional components of an EPS?,"An EPS, as shown in Figure 4.2.1, can usually be broken down into four functional blocks: primary power source, energy storage, power management (power conditioning and charge and discharge con- trol) and power distribution.4.2.1 Energy GenerationThere are various ways to supply spacecraft withelectrical energy. Two basic methods have to be",True,1
What is the primary source of energy conversion mentioned in the context?,1. Energy is derived from the outside environment (so far only in the form of converted solar energy).,True,1
What is the type of energy system utilized on the vehicle?,2. An energy source is carried on-board.,True,2
What methods enable the transformation of primary energy sources into electrical energy?,"The conversion of the primary energy into electrical energy is performed either directly by us- ing the photovoltaic effect of solar cells as well as chemical-electrical conversion in galvanic elements (batteries or fuel cells), or indirectly by conversion of solar or nuclear energy into thermal energy. Conver- sion of thermal energy into electrical energy can be achieved statically by using thermal or thermionic elements. ",True,3
What is the role of kinetic energy in dynamic conversion using magnetohydrodynamic devices?,A third method is dynamic conversion via kinetic energy using magnetohydrodynamic (MHD) generators or turboelectric thermal power machines with gas (Brayton cycle or Stirling motor) and steam turbines (Rankine cycle).. ,True,3
What are the advantages of using thermoelectric converters in nuclear energy sources?,"Although their efficiency is low, all nuclear energy sources flown so far use thermoelectric convertersbecause of their operational reliability and simple handling.",True,4
What are the main components of a solar dynamic system according to its function?,"A solar dynamic system converting solar energy into thermal energy represents a combination of converter and energy source. Although such systems have an efficient surface-to-power ratio (ie., generated energy per illuminated surface unit) the development of this method has so far not been pursued because of considerable efficiency improvements in solar cells combined with their economical production costs.. ",True,3
What are the limitations of using batteries for powering spacecraft over extended periods?,"Space missions usually require power sources able to generate electrical power for many orbit cycles to supply electrical loads and recharge batteries. While launch vehicles use primary batteries for power supply because they usually have to provide power for less than 1 hour (and at most up to 4hours), such an approach is not suitable for operating a spacecraft over a period of weeks, months or years because the energy content of batteries alone would be insufficient. Figure 4.2.2 summarizes possible power sources.. ",True,3
What type of energy systems will be required for future extraterrestrial bases due to their power needs?,Future lunar or planetary bases as well as long-term missions will require either extremely powerful or regenerative energy systems since their power requirements will be far beyond the capabil- ity of today’s power systems like the ISS’s current requirement of 110kW.,True,3
Identify three primary power sources mentioned in the text that could be used for various applications.,"The Sun (electromagnetic solar radiation, solar corpuscular radiation), interplanetary space (inter- planetary magnetic field, cosmic radiation) and the planets (chemical sources of energy, nuclear energy, physical sources of energy with wind energy, tidal en- ergy, geothermal energy, magnetic fields) are regarded as possible primary power sources which could be used",True,2
Identify three methods of generating electrical power for spacecraft from the options provided.,"2/24/09 3:40:12 PM 238 4 Subsystems of Spacecraft Primary power Solar power Nuclear power Chemical power Planetary magnetic fields Thermal energy Dynamic conversion Static conversionElectro- - a Battery, 4Photo- MHD Brayton Rankine Stirling Thermo- Therm- fuel cell dynamic voltaic cycle cycle motor electric ionic tetherFigure 4.2.2: Possible ways to generate electrical power.",True,3
What are the primary power supply considerations needed for supporting lunar missions?,"for the power supply of various missions, including supporting a Moon base.",True,3
What are the three primary alternatives mentioned for energy sources considering their effectiveness?,"However, when their physical and technical usefulness is taken into account, these alternatives are reduced to:e Electromagnetic solar radiatione Nuclear energy (radionuclides, nuclear fission)e Planetary magnetic fields (electrodynamic tethers).The power supply systems presently in use and whichwill also dominate the near future are based on theconversion of electromagnetic solar radiation by the",True,3
What are the steps involved in the described procedures?,following processes:,False,0
What are the primary components of a solar energy conversion system?,"e Photovoltaic energy transformatione Photochemical processese Photoelectrochemical processese Photobiological processese Thermal energy (direct utilization of thermal energy, thermodynamic processes)e Radiation pressure.A photovoltaic power system usually consists of the following main components:e Power conditioninge Power distributionIt is discussed in detail in the following sections.",True,3
What is the chemical composition represented by the formula CHO4?,CHO4.indd Sec1:238 &,True,2
What are the two conversion steps in a thermodynamic cycle for utilizing thermal energy?,"Up to now, the use of photochemical, photoelec- trochemical and photobiological processes has not gained widespread acceptance in the field of energy processing. Thermal energy can be used either directly or via a thermodynamic cycle consisting of two energy conversion steps: thermal energy to torque, and torque to current conversion. This is described in more detail in Section 4.2.2.2.",True,3
"What form of propulsion cannot be used for generating power in spacecraft, despite its potential for movement in space?","Solar radiation pressure (solar sails, “sailing” in space) cannot be utilized for spacecraft power supply.",True,3
What type of energy systems are primarily utilized for military or interplanetary missions?,The processing of helium-3 cannot be considered for energy generation on the Moon (but perhaps for terrestrial fusion power plants). The same is true for helium-3 energy generation for spacecraft. Nuclear systems are used predominantly for military or interplanetary missions to serve as a possible energy source for the EPS. Detailed information follows in Section 4.2.2.3.,True,3
What is the mechanism by which tethered satellite systems generate power during their movement in a magnetic field?,"Tethered satellite systems with an electrically con- ductive tether can be used for power generation since there is an induced current caused by the movement of the tether in a magnetic field. They can also be used to produce thrust; the thrust generated by the current flowing through an electrical conductor is used to compensate aerodynamic resistance. The electrody- namic tether could be placed in a circular LEO orbit at a speed of approximately 7.6 km/s, depending on the orbital radius (Figure 4.2.3). Up to now two tether satellite missions have been undertaken by NASA in. ",True,3
What was the issue that prevented proof of the physical principle in the collaboration with Italy?,2/24/09 3:40:13 PM 4.2. Electrical Power Supplycooperation with Italy; unfortunately they could not furnish definite proof of the physical principle because of technical failures.,True,3
What applications utilize nonconductive tethers in the context of aerothermodynamics?,"Tethered applications with nonconductive tethers can be used to study aerothermodynamics (wind tun- nels in orbit), for atmosphere research (temperature distribution, chemical composition, occurrences of turbulence) and, for example, to return the payload of space experiments conducted on-board the ISS.",True,3
What power sources are commonly used for Earth-orbiting spacecraft and the ISS?,"4.2.2.1 PhotovoltaicsSolar arrays (SAs) using photovoltaic assemblies (PVAs) in conjunction with rechargeable batteries (secondary batteries) are the most common power sources for Earth-orbiting spacecraft as well as for the ISS.Since photovoltaics are the leading choice for providing primary power, they will be described in detail in Sections 4.2.4—-4.2.7.",True,1
What is the purpose of solar power satellites in geostationary orbit regarding energy conversion and transmission?,"For the sake of completeness, the frequently made suggestion of using “solar power satellites” in geosta- tionary orbit to convert solar energy into electrical, microwave or laser energy should be mentioned. This energy is then focused and transmitted to gigantic terrestrial antennas and reconverted to electrical",True,3
What challenges have hindered the implementation of the electrodynamic tether technology?,"Figure 4.2.3: Electrodynamic tether [4.2.22].energy before being fed into the local power network (5 GW). However, acceptance problems regarding the transport scenario and the financial investment have so far prohibited implementation.4.2.2.2 Solar Dynamics",True,4
What are the two main alternatives to convert solar energy as mentioned in the context?,The only efficient alternative to the conversion of the Sun’s electromagnetic radiation besides exploiting the photovoltaic effect is the use of solar dynam- ics. A solar dynamic energy supply system can use a thermal—mechanical-electrical energy converter or a conventional thermodynamic cycle process with a closed working medium cycle.,True,2
What geometric shape is used to focus sunlight onto the receiver in solar dynamic energy conversion?,"For the solar dynamic energy conversion process the incoming, almost parallel solar irradiation (col- limation angle 32 arc minutes) is reflected by a nearly rotationally symmetric parabolic collector onto a radiation receiver whose aperture is at the focus of the parabolic collector and which is able to transfer the reflected solar energy to a working medium. This so-called processing heat is used to generate mechani- cal energy with the help of a thermal engine. ",True,3
What function does a thermal radiator serve in managing excess heat?,Excess heat is radiated via thermal radiators back into space. An electric generator converts the rotational energy of the thermal engine again to electrical energy and. ,True,2
Identify a key subsystem responsible for managing energy in a spacecraft during solar events.,2/24/09 3:40:13 PM CHO04.indd Sec1:240Solar radiation Eclipse =4 Subsystems of Spacecraftstorage | Power conditioning,True,3
What are the key components of a solar dynamic energy supply system as shown in the relevant figures?,Receiver Turbine Generator Compressor Aperture [Recuperator Radiation Figure 4.2.4: Block diagram of the ther- Cooler mal cycle of a solar dynamic energy supply Collector system. provides it to the spacecraft. A solar dynamic unit K-1 consists of typical components as shown in 1 -)-he P)\e (4.2.3) Figures 4.2.4 and 4.2.5. th T |B,True,3
What type of energy converter uses the Stirling process in space applications?,"Examples of thermal cycles useful in space applicationse Stirling process (hermetically sealed thermome- chanical energy converter with external heat sup- ply)e Brayton (Joule) process (gas turbine with a monophase working medium)e High-temperature Rankine process (steam tur- bine with biphase working medium)e Organic Rankine process (ORC), used for medium temperature ranges.",True,4
What is the formula for calculating the thermal efficiency of an ideal Brayton cycle that includes a heat exchanger?,"From the T-S diagram (T=temperature in K, S= entropy) the thermal efficiency of an ideal Brayton thermal cycle with a heat exchanger can be derived as",True,5
What equation describes the thermal efficiency in the context of isentropic processes?,"din={dou|  \dour|_, 7-7, = =l- =l- (4.2.1) mh 4in 4in T, -T,Using the thermodynamic relationship for an ideal gas in isentropic compression and expansion,T_B_jA\* (4.2.2) Ty Ty P,the thermal efficiency can be formulated as",True,5
What type of process is utilized in a closed gas turbine system with an inert gas mixture?,The closed gas turbine process works as a regen- erative Brayton process with an He/Xe gas mixture. The thermomechanical efficiency can be improved considerably by increasing the upper process temperature.,True,3
What performance metric is particularly important for collectors used in concentrators?,Concentrators with very high optical quality and concentration capabilities above 1000 are desired as collectors.,True,2
What was one of the main energy solutions considered by NASA for the ISS's initial operational phase?,"Because of the very high energy requirements for the first operational phase of the ISS (110kW), for several months at the end of the 1980s NASA con- sidered using solar dynamic energy supply systems to comply with a requirement to minimize collector surface area. There was concern about the additional fuel needed to compensate the aerodynamic drag; for example, for accelerating the space station to maintain its orbit.. ",True,3
What key advantages does the solar dynamic EPS system offer over traditional solar generators?,"Solar dynamic EPS systems with an energy output per surface unit which is two to three times higher then solar generators are being further developed to achieve higher cycle robustness, reliability and longer lifetimes. They can then be used in high-performance spacecraft in LEOs of 200-400 km, because less collec- tor area causes fewer disturbances from aerodynamic",True,3
What is the significance of electrical power supply in modern systems?,2/24/09 3:40:15 PM 4.2. Electrical Power Supply,True,1
How do solar dynamic energy supply units impact microgravity levels?,"Receiver/ storage/machineFigure 4.2.5: Schematic of a solar dynamic energy supply unit.drag. On the other hand, because of their rotating aggregates, solar dynamic EPSs interfere with the microgravitation level.",True,3
What determines the capacity of the latent heat accumulator?,"The primary energy storage unit converts the energy input modulated by day-night cycles to a constant heat flow input for the thermal—mechani- cal—electrical converter. The latent heat accumulator, its capacity determined by the melting enthalpy of the storage medium, is considered to be the future solu- tion because of its advantages over “sensitive” storage systems which use the high specific heat capacity of certain substances and compounds.. ",True,4
How does the specific energy density of a flywheel relate to its angular velocity?,"Another storage system is flywheel storage, which consists of a rotating solid body whose specific energy contents (Wh/kg) increases with the square of the angular velocity. Considerable regulation effort is, however, necessary to maintain a constant voltagesupply. In addition, the rotational speed is restricted due to high centrifugal forces.4.2.2.3 Nuclear Power Supply",True,3
What conversion methods are utilized for energy in nuclear-based satellite missions?,"The static and dynamic conversion of thermal en- ergy generated by nuclear processes is mainly found in satellites used for military reconnaissance and surveillance missions flying in LEO, or for interstel- lar missions (unmanned deep-space missions). For such missions, photovoltaic systems would lead to unfavorable spacecraft configurations due to the large demand on PVA areaas required to compensate for the low solar intensity resulting from the long distance to the Sun. ",True,3
What is the impact of space radiation on photovoltaic components during missions?,Another application reason may be given by missions with high space radiation exposure sufficient to damage photovoltaic components.. ,True,2
What are the two main categories of nuclear reactors based on their energy conversion methods?,Nuclear power supply systems include radioiso- tope thermoelectric generators (RTGs) and nuclear reactors. The latter can be further subdivided into static systems with direct energy conversion and dynamic systems using thermodynamic processes (Figure 4.2.6).,True,3
What is the efficiency range of RTGs utilizing the SNAP system for direct energy conversion?,RTGs using SNAP (System for Nuclear Auxil- iary Power) with direct energy conversion have an efficiency of 7 = 5-10% and low power outputs (P= 1 kW). These systems were used for the Galileo and Ulysses satellite missions along with a GPHS (General Purpose Heat Source) expected to be able to survive catastrophic crashes.,True,3
What efficiency range do dynamic isotope power systems achieve in certain thermal processes?,"RTGs using dynamic isotope power systems (DIPS) are used in Brayton or ORC processes, yield- ing an efficiency of n = 18-25% at an output power level of 1-10 kW,).",True,2
What is the efficiency range for dynamic energy converters at power outputs greater than 20 kW?,"Nuclear reactors with direct energy conversion use thermodynamic, thermionic and AMTECs (Alkali Metal Thermoelectric Converters) with an efficiency of 7 = 10-19%. Dynamic energy converters yield efficien- cies of 7 = 18-25% at power outputs of P. > 20kW.",True,4
What type of energy converters are utilized by the American SNAP 10-A model?,"The American test reactor model SNAP 10-A (1965, operating for 43 days in orbit) as well as the Russian RORSAT satellites use thermoelectric energy converters, while the Russian TOPAZ satellites use thermionic energy converters, similar to the not yet completely developed SP-100 reactor which provides a power output of 100 kW,. The nuclear reactors use2/24/09 3:40:15 PM CHO4.indd Sec1:242",True,2
Identify the four main subsystems commonly found in a spacecraft.,4 Subsystems of Spacecraft,True,3
What is the primary advantage of utilizing radioisotope batteries in applications compared to conventional battery technologies?,Radioisotope batteries,True,3
What is the range of energy conversion efficiency for the systems mentioned in the context?,"Plutonium-238 / Polonium-210 / Curium-242 Uranium-235 Static Dynamic Static Dynamic systems systems systems systems a DIPS Dynamic Thermoelectric pre) WER Ee isotope power thermionic : : systems AMTEC Direct energy Thermodynamic conversion processes Brayton process ORC Brayton Process ORC Seebeck efect E/Xe e.g., toluol E/Xe e.g., toluol We ° n= 15-25% n= 15-25% n = 15-25% n= 15-25% Figure 4.2.6: Overview | Pac 1 kW P= 1-10 kW Pai>1 kW of nuclear energy supply systems.. ",True,2
What is the half-life of uranium-235 used as fuel?,highly enriched uranium-235 or uranium oxide asfuel with a half-life of 7.1 - 10° years.,True,3
What advanced technology is being utilized in the CONSEP study for comparing propulsion methods?,"In 1995, with the support of DARA, the German Space Agency at that time, a German-Russian re- search team conducted a study called “Advanced Interplanetary Missions Using Nuclear Electric Pro- pulsion” (Topas-25 reactor) as part of the CONNEP project (Contributions to Nuclear Electrical Propul- sion for Advanced Space Missions project). In the succeeding study of CONSEP (Contributions to Solar Electric Propulsion for Advanced Space Missions) the alternatives of nuclear energy propulsion versus solar energy propulsion are currently being compared with regard to spacecraft configuration as well as to mission and orbital aspects. The study is based on the advanced German RIT (Radiofrequency Ion Thruster) technology.. ",True,4
